lat,lon,reported_date,reported_by,address,city,zip,addressline,country
37.63629,-0.9659,03/23/10 20:32:37,web,Camino Rural XIV Sifón| 30310 Cartagena| Spain,cartagena,30310,Camino Rural XIV Sifón,España
40.46367,-3.74922,03/23/10 23:38:22,web,Calle 30| 28035 Madrid| Spain,madrid,28035,Calle 30,España
40.41748,-3.69849,03/23/10 23:38:29,web,Calle de Cedaceros| 6| 28014 Madrid| Spain,madrid,28014,Calle de Cedaceros| 6,España
28.48021,-16.31243,03/24/10 01:14:07,web,TF-180| 38205 San Cristóbal de La Laguna| Spain,san cristóbal de la laguna,38205,TF-180,España
40.38474,-3.78359,03/24/10 02:38:53,web,Paseo de Extremadura| 404| 28024 Madrid| Spain,madrid,28024,Paseo de Extremadura| 404,España
42.87147,-8.55087,03/24/10 10:50:02,web,AC-543| 23| 15706 Santiago de Compostela| Spain,santiago de compostela,15706,AC-543| 23,España
40.4203,-3.7165,03/24/10 13:12:30,web,Cuesta de San Vicente| 26-28| 28008 Madrid| Spain,madrid,28008,Cuesta de San Vicente| 26-28,España
42.9622,-6.37997,03/24/10 14:43:03,web,CL-631| 24100 Villablino| Spain,villablino,24100,CL-631,España
37.77915,-3.79758,03/24/10 14:49:13,web,Calle del Doctor Severo Ochoa| 5| 23006 Jaen| Spain,jaén,23006,Calle del Doctor Severo Ochoa| 5,España
40.49239,-3.67501,03/24/10 18:30:50,web,Camino de Fuencarral a Hortaleza| 28050 Madrid| Spain,madrid,28050,Camino de Fuencarral a Hortaleza,España
40.33343,-3.87916,03/25/10 11:49:39,web,Av de los Abogados de Atocha| 28935 Móstoles| Spain,móstoles,28935,Av de los Abogados de Atocha,España
40.46852,-3.71212,03/25/10 12:43:50,web,Camino del Chorrillo| 28039 Madrid| Spain,madrid,28039,Camino del Chorrillo,España
40.42702,-3.72355,03/26/10 12:47:59,web,Calle de Francisco y Jacinto Alcántara| 3| 28008 Madrid| Spain,madrid,28008,Calle de Francisco y Jacinto Alcántara| 3,España
40.3048,-3.90306,03/23/10 18:19:25,web,Carretera de Madrid a Badajoz| 28935 Móstoles| Spain,móstoles,28935,Carretera de Madrid a Badajoz,España
